latitude,longitude
28.6342053,77.1238475
28.6486578,77.0958428
28.6451383,77.0965683
28.6524333,77.1000592
28.6563217,77.1605162
28.52991,77.2558848
28.5293633,77.2630731
28.5401367,77.2643499
28.5700938,77.2431796
28.5678755,77.2404914
28.564122,77.2372705
28.5615391,77.2431499
28.561184,77.2398036
28.5621997,77.2476131
28.5633766,77.2600597
28.5669763,77.2491906
28.560774,77.2299752
28.5572924,77.2191223
28.5668357,77.2200829
28.6793053,77.1977171
28.6796676,77.1988195
28.6867059,77.1907813
28.6892775,77.194721
28.6595181,77.20501
28.6586096,77.2096127
28.661528,77.2148162
28.5704987,77.2255192
28.5719299,77.2258138
28.5695811,77.2244496
28.574216,77.2273933
28.5727295,77.2270561
28.6542692,77.180901
28.5774817,77.2256295
28.6676187,77.1842269
28.6683529,77.1865122
28.5621177,77.2124515
28.5571011,77.2130055
28.53493,77.3005184
28.5878849,77.2519283
28.6766787,77.0533471
28.7223775,77.1456151
28.7159041,77.1255307
28.5603016,77.219519
28.5228329,77.2590819
28.5592511,77.2161665
28.5663751,77.1830056
28.5628004,77.1839124
28.5701464,77.1760451
28.574021,77.1773209
28.5725627,77.1822044
28.5591352,77.184885
28.555314,77.1816099
28.5620259,77.1741866
28.5659228,77.1717278
28.5689368,77.1690722
28.5722093,77.1661801
28.5738236,77.1712273
28.567071,77.1780515
28.5747614,77.1630662
28.5785457,77.1638649
28.5330038,77.200783
28.6941589,77.190947
28.5770732,77.1696471
28.68512,77.1937884
28.5667513,77.2619181
28.5720013,77.2633718
28.5607037,77.2036565
28.5303586,77.2020662
28.5374783,77.2020888
28.5353753,77.2081104
28.5400792,77.215276
28.5395472,77.2187735
28.5785161,77.2195112
28.5777561,77.2193941
28.5753194,77.2203485
28.5440522,77.2291407
28.5425871,77.2242898
28.5415421,77.2037409
28.5461479,77.2752266
28.6944491,77.1956155
28.6917865,77.1971156
28.6927823,77.1957333
28.5366138,77.2756197
28.5515414,77.2694165
28.6922523,77.1993035
28.5478449,77.2186481
28.5660025,77.2694303
28.5724786,77.2739495
28.5471278,77.2083259
28.571889,77.2693779
28.5860468,77.1701151
28.5291809,77.2117586
28.6227661,77.3075035
28.6250692,77.2851699
28.6903206,77.2902495
28.6950799,77.1858331
28.6915564,77.2016914
28.6861093,77.1969036
28.6879568,77.1974016
28.7024308,77.1852518
28.6778611,77.2777898
28.603133,77.2925892
28.6115923,77.2905644
28.6083003,77.2947817
28.6059159,77.2939722
28.6105813,77.2946846
28.6137593,77.284866
