latitude,longitude
28.6740218,77.2816878
28.684342,77.2018252
28.6771951,77.1941075
28.6792617,77.1925126
28.6854584,77.1997259
28.6808284,77.1958905
28.6453086,77.0984151
28.6457005,77.1936515
28.6464777,77.1944998
28.6450051,77.1890223
28.6552314,77.194092
28.660328,77.1901581
28.6548892,77.1878699
28.6001666,77.169166
28.5757158,77.1396557
28.5832397,77.1384294
28.5824962,77.1359408
28.570276,77.160041
28.6130628,77.0464176
28.6159282,77.0515048
28.6108859,77.0739575
28.6087591,77.0672943
28.6100532,77.06942
28.6315308,77.0590093
28.6467327,77.0398508
28.6967584,77.1093382
28.6192068,76.9322893
28.5289624,77.2631402
28.5289579,77.2511198
28.528279,77.251458
28.5272321,77.2559391
28.5301323,77.2676661
28.5319663,77.2671318
28.5988392,77.182057
28.6385002,77.0616135
28.636657,77.0638662
28.6305274,77.0666313
28.6298254,77.0665975
28.629065,77.0664119
28.6340286,77.0665268
28.6387123,77.064054
28.6307492,77.0722979
28.6311683,77.0711052
28.640867,77.0687965
28.6336375,77.0753373
28.6391666,77.0720641
28.6379692,77.0713242
28.6379035,77.0757795
28.6421852,77.081441
28.6424647,77.0742834
28.6409769,77.07834
28.6421995,77.0778419
28.6382014,77.0676103
28.6637891,77.0818465
28.6677645,77.0866735
28.6729674,77.0892882
28.6730925,77.08208
28.6766292,77.0786299
28.6777353,77.0787823
28.6761441,77.0792844
28.6788775,77.0833871
28.6789744,77.0852922
28.6654326,77.0862118
28.6657101,77.0833999
28.6642918,77.083148
28.6594639,77.087036
28.6618499,77.0981603
28.6619587,77.097153
28.6649755,77.0966701
28.6683785,77.1136469
28.5607959,77.2143147
28.5398013,77.2554794
28.5481373,77.2454256
28.548122,77.2465955
28.6668558,77.1086565
28.6669364,77.1103337
28.6658082,77.1036883
28.6674169,77.1035614
28.6755647,77.106466
28.6758076,77.102457
28.6754232,77.1047049
28.6776608,77.1002428
28.6736901,77.1018738
28.6711082,77.0980408
28.6733198,77.0975499
28.6723417,77.0976324
28.6721583,77.1064329
28.6751381,77.0800521
28.6457967,77.0551894
28.6373564,77.057021
28.6454071,77.0549257
28.6450905,77.0553709
28.6292326,77.0426988
28.6327985,77.0399778
28.632786,77.0464551
28.638094,77.0336908
28.6430367,77.0332293
28.6336527,77.0412583
28.6327729,77.0388286
28.6321322,77.029673
28.6174597,77.0047724
28.6206854,76.9993111
28.6331091,77.0604925
28.5945042,76.9104597
28.5945364,76.908743
28.5942322,76.9074879
28.5820353,76.877461
28.6434481,77.0730626
28.6455243,77.0730314
28.628128,76.9652916
28.4849064,77.2009939
28.4955957,77.2033227
28.6097075,77.1006411
28.688984,77.2112553
28.5992024,77.0337541
28.6385862,77.1127876
28.6223377,77.1116293
28.6287359,77.1056935
28.6281398,77.1077889
28.6287256,77.1068066
28.6204973,77.1057473
28.6254781,77.1102383
28.6231219,77.1160131
28.6255842,77.1185969
28.6250054,77.1180961
28.6262712,77.1114213
28.6266215,77.1188926
28.5542801,77.168949
28.5523626,77.1702408
28.5738023,77.2681227
28.5758218,77.2652981
28.5637562,77.2724104
28.6632622,77.1440452
28.6632475,77.1495005
28.6662531,77.1408637
28.6652385,77.1413512
28.6466766,77.127376
28.650766,77.1355194
28.6499358,77.1287047
28.6492722,77.1309824
28.6461143,77.1091608
28.6398423,77.1140614
28.6482087,77.1327454
28.6578784,77.1017283
